S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
202,NRN,37.54,1449.9,1463.0,1443.1,1455.0,1455.0,0.0,0.0,1452.36,100078.0,1439.9,145349361.4,380,15.1,19.9,1.05,1.38,0.18,1432.89,1452.48,2175.0,1280.0
203,NSIF2,32.12,9.97,10.26,9.97,10.26,10.26,0.0,0.0,10.25,5955.0,10.0,61023.3,8,0.26,0.29,2.6,2.91,0.12,10.66,10.63,11.45,9.65
204,NSY,44.91,8.91,9.25,8.91,9.25,9.25,0.0,0.0,9.15,10600.0,9.12,96949.0,25,0.13,0.34,1.43,3.82,1.12,9.46,0.0,10.19,8.85
205,NTC,37.03,880.0,895.0,880.0,892.0,892.0,0.0,0.0,892.11,3711.0,890.0,3310635.3,90,2.0,15.0,0.22,1.7,-0.01,870.02,869.95,942.5,762.5
206,NUBL,39.9,585.0,591.0,581.0,586.0,586.0,0.0,0.0,587.64,4755.0,580.0,2794249.4,45,6.0,10.0,1.03,1.72,-0.28,638.99,664.85,802.0,555.1
207,NWCL,34.98,619.6,619.6,607.0,610.0,610.0,0.0,0.0,611.48,1793.0,590.1,1096388.2,42,19.9,12.6,3.37,2.08,-0.24,744.55,787.08,1045.0,571.0
208,NYADI,42.24,369.0,370.0,361.0,361.0,361.0,0.0,0.0,363.24,5873.0,368.9,2133300.1,36,-7.9,9.0,-2.14,2.49,-0.62,383.49,390.04,482.0,335.3
209,OHL,43.23,650.0,659.0,641.0,651.9,651.9,0.0,0.0,652.09,2390.0,643.0,1558507.0,30,8.9,18.0,1.38,2.81,-0.03,682.47,693.7,785.0,590.0
210,OMPL,38.63,920.0,925.9,890.1,907.0,907.0,0.0,0.0,904.35,1234.0,904.0,1115973.9,46,3.0,35.8,0.33,4.02,0.29,1061.2,1151.4,1575.9,846.0
211,PBD84,15.13,1039.3,1039.3,1039.2,1039.2,1039.2,0.0,0.0,1039.24,25.0,1070.0,25981.0,2,-30.8,0.1,-2.88,0.01,0.0,1102.35,1091.37,1182.0,1039.2
212,PBD93,29.26,1036.0,1067.0,1036.0,1041.0,1041.0,0.0,0.0,1054.5,13707.0,1036.0,14453993.3,120,5.0,31.0,0.48,2.99,-1.3,0.0,0.0,1067.0,1000.0
213,PBLD87,27.28,1125.0,1125.0,1125.0,1125.0,1125.0,0.0,0.0,1125.0,10.0,1100.0,11250.0,1,25.0,0.0,2.27,0.0,0.0,1082.98,1066.36,1150.0,1043.0
214,PCBL,45.93,245.0,252.0,245.0,251.8,251.8,0.0,0.0,249.25,227337.0,245.0,56664228.5,398,6.8,7.0,2.78,2.86,1.01,240.57,242.12,275.9,225.0
215,PCIL,40.29,618.0,628.0,618.0,624.1,624.1,0.0,0.0,624.02,33288.0,618.0,20772412.9,551,6.1,10.0,0.99,1.62,0.01,0.0,0.0,1280.0,300.0
